
=======================================================================
  B881 NR5G MAC UL TB Stats — Parsed Records
=======================================================================
  Pkt   Ver    Delta Tx (Bytes)   Cumul Tx        ReTx      
  -------------------------------------------------------------------
  0     3.1    0                  1119312309      94803055  
  1     3.1    0                  1119312309      94803055  
  2     3.1    0                  1119312309      94803055  
  3     3.1    301                1119312610      94803055  
  4     3.1    301                1119312911      94803055  
  5     3.1    0                  1119312911      94803055  
  6     3.1    0                  1119312911      94803055  
  7     3.1    0                  1119312911      94803055  
  8     3.1    309                1119313220      94803055  
  9     3.1    309                1119313529      94803055  
  10    3.1    0                  1119313529      94803055  
  11    3.1    0                  1119313529      94803055  
  12    3.1    0                  1119313529      94803055  
  13    3.1    0                  1119313529      94803055  
  14    3.1    0                  1119313529      94803055  
  15    3.1    0                  1119313529      94803055  
  16    3.1    0                  1119313529      94803055  
  17    3.1    0                  1119313529      94803055  
  18    3.1    0                  1119313529      94803055  
  19    3.1    0                  1119313529      94803055  
  20    3.1    0                  1119313529      94803055  
  21    3.1    285                1119313814      94803055  
  22    3.1    0                  1119313814      94803055  
  23    3.1    0                  1119313814      94803055  
  24    3.1    0                  1119313814      94803055  
  25    3.1    0                  1119313814      94803055  
  26    3.1    0                  1119313814      94803055  
  27    3.1    0                  1119313814      94803055  
  28    3.1    0                  1119313814      94803055  
  29    3.1    0                  1119313814      94803055  
  30    3.1    0                  1119313814      94803055  
  31    3.1    0                  1119313814      94803055  
  32    3.1    0                  1119313814      94803055  
  33    3.1    0                  1119313814      94803055  
  34    3.1    0                  1119313814      94803055  
  35    3.1    0                  1119313814      94803055  
  36    3.1    0                  1119313814      94803055  
  37    3.1    0                  1119313814      94803055  
  38    3.1    0                  1119313814      94803055  
  39    3.1    0                  1119313814      94803055  
  40    3.1    0                  1119313814      94803055  
  41    3.1    0                  1119313814      94803055  
  42    3.1    0                  1119313814      94803055  
  43    3.1    0                  1119313814      94803055  
  44    3.1    309                1119314123      94803055  
  45    3.1    0                  1119314123      94803055  
  46    3.1    0                  1119314123      94803055  
  47    3.1    0                  1119314123      94803055  
  48    3.1    301                1119314424      94803055  
  49    3.1    325                1119314749      94803055  
  50    3.1    309                1119315058      94803055  
  51    3.1    325                1119315383      94803055  
  52    3.1    0                  1119315383      94803055  
  53    3.1    0                  1119315383      94803055  
  54    3.1    0                  1119315383      94803055  
  55    3.1    0                  1119315383      94803055  
  56    3.1    325                1119315708      94803055  
  57    3.1    1505               1119317213      94803055  
  58    3.1    0                  1119317213      94803055  
  59    3.1    0                  1119317213      94803055  
  60    3.1    0                  1119317213      94803055  
  61    3.1    0                  1119317213      94803055  
  62    3.1    301                1119317514      94803055  
  63    3.1    997                1119318511      94803055  
  64    3.1    0                  1119318511      94803055  
  65    3.1    0                  1119318511      94803055  
  66    3.1    0                  1119318511      94803055  
  67    3.1    325                1119318836      94803055  
  68    3.1    989                1119319825      94803055  
  69    3.1    285                1119320110      94803055  
  70    3.1    0                  1119320110      94803055  
  71    3.1    0                  1119320110      94803055  
  72    3.1    301                1119320411      94803055  
  73    3.1    1013               1119321424      94803055  
  74    3.1    325                1119321749      94803055  
  75    3.1    0                  1119321749      94803055  
  76    3.1    325                1119322074      94803055  
  77    3.1    0                  1119322074      94803055  
  78    3.1    301                1119322375      94803055  
  79    3.1    1021               1119323396      94803055  
  80    3.1    309                1119323705      94803055  
  81    3.1    0                  1119323705      94803055  
  82    3.1    0                  1119323705      94803055  
  83    3.1    309                1119324014      94803055  
  84    3.1    576                1119324590      94803055  
  85    3.1    0                  1119324590      94803055  
  86    3.1    0                  1119324590      94803055  
  87    3.1    0                  1119324590      94803055  
  88    3.1    325                1119324915      94803055  
  89    3.1    1029               1119325944      94803055  
  90    3.1    0                  1119325944      94803055  
  91    3.1    0                  1119325944      94803055  
  92    3.1    309                1119326253      94803055  
  93    3.1    309                1119326562      94803055  
  94    3.1    309                1119326871      94803055  
  95    3.1    0                  1119326871      94803055  
  96    3.1    0                  1119326871      94803055  
  97    3.1    0                  1119326871      94803055  
  98    3.1    309                1119327180      94803055  
