
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
   ---   ---   ---   ----   -----      ---   ---   -------   ---   -------   ----    --
     0     0     2      1     626    60kHz     0        28     3         1     14     4
     1     0     2      1     114    60kHz     0        28     3         1     15     4
     2     0     2     12     304    15kHz     0        26     3         1      0    12
     3     0     2      2     585    30kHz     0       153     0        48      0     1
     4     0     2      9     586    60kHz     0       848     8        48      0     6
     5     0     2      0     589      mu5     0        32     6         2      1     5
     6     0     2     10     589      mu5     0        32     6         2      1     5
     7     0     2     16     590      mu6     0        26     5         2      2     8
     8     0     2      6     592    15kHz     0       848     8        48      3     8
     9     0     2      7     592    15kHz     0       528     5        48      4     7
     9     1     2      8     592    15kHz     0       528     5        48      5     7
    10     0     2     11     596      mu4     0       106     7         3      8     4
    11     0     2      0     597      mu5     0       106     7         3      9     5
    12     0     2     10     597      mu5     0       106     7         3     10     5
    12     1     2     11     597      mu5     0       388     8        10     11     4
    13     0     2     10     599      mu7     0        30     6         1     13     5
    14     0     2     13     605      mu5     0       453     7        44      2    11
    14     1     2     16     605      mu5     0        54     5         2      3     8
    15     0     2      2     641    30kHz     0        10     7         3      0     1
    16     0     2      2     897    30kHz     0        10     7         3      0     1
    17     0     2     10      98    60kHz     0        32     7         1      6     5
    18     0     2      9     571   120kHz     0       111    12         2      7     6
    19     0     2      0     572      mu4     0        92    10         2      8     5
    20     0     2     10     572      mu4     0       101    11         2      9     5
    21     0     2      0     573      mu5     0        92    10         2     10     5
    22     0     2      0     574      mu6     0        30     6         1     11     5
    23     0     2     10     574      mu6     0        30     6         1     11     5
    24     0     2     17     581      mu5     0       512     7        15     12     7
    25     0     2      0     584    15kHz     0        30     6         1     13     5
    26     0     2     10     585    30kHz     0       106     7         3     14     5
    27     0     2      0     610    60kHz     0        30     6         1     15     5
    28     0     2      2       1    30kHz     0        10     7         3      0     1
    29     0     2     10     100      mu4     0        28     3         1      0     5
    30     0     2      2     257    30kHz     0        10     7         3      0     1
    31     0     2      2     385    30kHz     0        10     7         3      0     1
    32     0     2     13     560    15kHz     0        32     5         2      1    11
    33     0     2      2     467   120kHz     0        10     7         3      0     1
    34     0     2      2     851   120kHz     0        10     7         3      0     1
    35     0     2      2      83   120kHz     0        10     7         3      0     1

  Total records : 39
  Version 2     : 39 record(s), MCS in [0, 3, 5, 6, 7, 8, 10, 11, 12]
  Overall MCS   : min=0, max=12, avg=6.44
===================================================================================

