
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
   ---   ---   ---   ----   -----      ---   ---   -------   ---   -------   ----    --
     0     0     2      7     257    30kHz     0        11     7         3      0     1
     1     0     2      0     355   120kHz     0        28     3         1      5     5
     2     0     2      0     435   120kHz     0        28     3         1      6     5
     3     0     2      0     441    30kHz     0        28     3         1      7     5
     4     0     2     12     441    30kHz     0       101    12         1      8    12
     5     0     2      8     442    60kHz     0       101    11         1      9     7
     6     0     2      9     443   120kHz     0       165    17         1     10     6
     7     0     2     13     443   120kHz     0        88    16         2     11    11
     8     0     2      1     445      mu5     0        28     3         1     12     4
     9     0     2     18     445      mu5     0       101    11         1     13     7
    10     0     2      7     513    30kHz     0        11     7         3      0     1
    11     0     2      7     641    30kHz     0        11     7         3      0     1
    12     0     2      7     769    30kHz     0        15     7         4      0     1
    13     0     2      0     867   120kHz     0        28     3         1     14     5
    14     0     2      7       1    30kHz     0        15     7         5      0     1
    15     0     2      7     129    30kHz     0         9     7         3      0     1
    16     0     2     11     219   120kHz     0        28     3         1     15     4
    17     0     2      1     220      mu4     0       111    12         1      0     4
    18     0     2      8     220      mu4     0       101    11         1      1     7
    18     1     2     10     220      mu4   129       111    12         1      0     5
    19     0     2      8     221      mu5     0       106    22         1      2     6
    20     0     2     10     222      mu6     0        28     3         1      3     5
    21     0     2      9     231      mu7     0       528    17         3      4     6
    22     0     2     10     234    60kHz     0        28     3         1      5     5
    23     0     2      9     235   120kHz     0       101    10         1      6     6
    24     0     2      7     257    30kHz     0         9     7         3      0     1
    25     0     2      0     355   120kHz     0        28     3         1      7     5
    26     0     2      7     385    30kHz     0        11     7         3      0     1
    27     0     2      0     411   120kHz     0        28     3         1      8     5
    28     0     2     10     411   120kHz     0       123    12         1      9     5
    28     1     2     12     411   120kHz   129       111    13         1     10    12
    29     0     2     10     414      mu6     0        32     3         1     11     5
    30     0     2      6     421      mu5     0       177    18         1     12     8
    30     1     2      8     421      mu5   129        96     3         4     13     7
    31     0     2      0     423      mu7     0        28     3         1     14     5
    32     0     2     19     423      mu7     0       111    12         1     15     6
    33     0     2     10     424    15kHz     0       111    30         1     15     5
    33     1     2     11     424    15kHz   129        32     3         1      0     4
    34     0     2      0     867   120kHz     0        32     3         1      1     5
    35     0     2      0     227   120kHz     0        28     3         1      2     5
    36     0     2      0     230      mu6     0       111    12         1      3     5
    37     0     2      0     355   120kHz     0        32     3         1      4     5
    38     0     2      0     387   120kHz     0        28     3         1      5     5
    39     0     2      1     388      mu4     0       111    12         1      6     4
    40     0     2     10     389      mu5     0        28     3         1      7     5
    41     0     2     13     394    60kHz     0       169    20         3      8    11
    41     1     2     17     394    60kHz   129       101    10         1      9     7
    42     0     2      9     395   120kHz     0       169    31         1      8     6
    42     1     2     10     395   120kHz   129       101    29         2      9     5
    43     0     2     10     398      mu6     0        28     3         1     10     5
    44     0     2     11     399      mu7     0       111    12         1     11     4
    45     0     2     10     823      mu7     0        28     3         1     12     5
    46     0     2     19     823      mu7     0       106    11         1     13     6
    47     0     2      8     824    15kHz     0       101    10         1     14     7
    48     0     2     10     825    30kHz     0        28     3         1     15     5
    49     0     2     13     831      mu7     0       165    15         4      0    11
    49     1     2     16     831      mu7   129       301    16         2      1     8
    50     0     2      9     832    15kHz     0       165    30         1      0     6
    51     0     2     16     834    60kHz     0       241    13         2      2     8
    51     1     2      0     835   120kHz   129        28     3         1      3     5
    52     0     2      6     835   120kHz     0       325    12         3      4     8
    52     1     2      9     835   120kHz   129        92    12         1      5     6
    53     0     2      1     839      mu7     0        28     3         1      6     4
