
===================================================================================
  B887 NR5G MAC PDSCH — Parsed Records
===================================================================================
   Pkt   Rec   Ver   Slot   Frame      SCS   CID   TB Size   MCS   Num RBs   HARQ    K1
   ---   ---   ---   ----   -----      ---   ---   -------   ---   -------   ----    --
     0     0     3      —       —        —     —        11     7         3      0     1
     1     0     3      —       —        —     —        28     3         1      5     5
     2     0     3      —       —        —     —        28     3         1      6     5
     3     0     3      —       —        —     —        28     3         1      7     5
     4     0     3      —       —        —     —       101    12         1      8    12
     5     0     3      —       —        —     —       101    11         1      9     7
     6     0     3      —       —        —     —       165    17         1     10     6
     7     0     3      —       —        —     —        88    16         2     11    11
     8     0     3      —       —        —     —        28     3         1     12     4
     9     0     3      —       —        —     —       101    11         1     13     7
    10     0     3      —       —        —     —        11     7         3      0     1
    11     0     3      —       —        —     —        11     7         3      0     1
    12     0     3      —       —        —     —        15     7         4      0     1
    13     0     3      —       —        —     —        28     3         1     14     5
    14     0     3      —       —        —     —        15     7         5      0     1
    15     0     3      —       —        —     —         9     7         3      0     1
    16     0     3      —       —        —     —        28     3         1     15     4
    17     0     3      —       —        —     —       111    12         1      0     4
    18     0     3      —       —        —     —       101    11         1      1     7
    18     1     3      —       —        —     —     83680     6       502      0    10
    19     0     3      —       —        —     —       106    22         1      2     6
    20     0     3      —       —        —     —        28     3         1      3     5
    21     0     3      —       —        —     —       528    17         3      4     6
    22     0     3      —       —        —     —        28     3         1      5     5
    23     0     3      —       —        —     —       101    10         1      6     6
    24     0     3      —       —        —     —         9     7         3      0     1
    25     0     3      —       —        —     —        28     3         1      7     5
    26     0     3      —       —        —     —        11     7         3      0     1
    27     0     3      —       —        —     —        28     3         1      8     5
    28     0     3      —       —        —     —       123    12         1      9     5
    28     1     3      —       —        —     —    101592     6       502      0    10
    29     0     3      —       —        —     —        32     3         1     11     5
    30     0     3      —       —        —     —       177    18         1     12     8
    30     1     3      —       —        —     —     68904     6       502      0    10
    31     0     3      —       —        —     —        28     3         1     14     5
    32     0     3      —       —        —     —       111    12         1     15     6
    33     0     3      —       —        —     —       111    30         1     15     5
    33     1     3      —       —        —     —     93504     6       502      0    10
    34     0     3      —       —        —     —        32     3         1      1     5
    35     0     3      —       —        —     —        28     3         1      2     5
    36     0     3      —       —        —     —       111    12         1      3     5
    37     0     3      —       —        —     —        32     3         1      4     5
    38     0     3      —       —        —     —        28     3         1      5     5
    39     0     3      —       —        —     —       111    12         1      6     4
    40     0     3      —       —        —     —        28     3         1      7     5
    41     0     3      —       —        —     —       169    20         3      8    11
    41     1     3      —       —        —     —     11344     6       502      0    10
    42     0     3      —       —        —     —       169    31         1      8     6
    42     1     3      —       —        —     —     85080     6       502      0    10
    43     0     3      —       —        —     —        28     3         1     10     5
    44     0     3      —       —        —     —       111    12         1     11     4
    45     0     3      —       —        —     —        28     3         1     12     5
    46     0     3      —       —        —     —       106    11         1     13     6
    47     0     3      —       —        —     —       101    10         1     14     7
    48     0     3      —       —        —     —        28     3         1     15     5
    49     0     3      —       —        —     —       165    15         4      0    11
    49     1     3      —       —        —     —      6648     6       502      0    10
    50     0     3      —       —        —     —       165    30         1      0     6
    51     0     3      —       —        —     —       241    13         2      2     8
    51     1     3      —       —        —     —      6680     6       502      0    10
    52     0     3      —       —        —     —       325    12         3      4     8
    52     1     3      —       —        —     —     80408     6       502      0    10
    53     0     3      —       —        —     —        28     3         1      6     4
    54     0     3      —       —        —     —       111    13         1      7    12
    54     1     3      —       —        —     —    113208     6       502      0    10
    54     2     3      —       —        —     —     14344     0       257      0    10
    54     3     3      —       —        —     —     83968     0        49     13     0
    54     4     3      —       —        —     —      1537    15        11     10     7
    55     0     3      —       —        —     —        92    10         1     11     8
    55     1     3      —       —        —     —     88656     6       502      0    10
    56     0     3      —       —        —     —       301    12         3     13    12
    57     0     3      —       —        —     —       301    30         3     13     6
    58     0     3      —       —        —     —        28     3         1     14     5
    59     0     3      —       —        —     —        28     3         1     15     5
    60     0     3      —       —        —     —        26     3         1      0     5
    61     0     3      —       —        —     —        11     7         3      0     1
    62     0     3      —       —        —     —      1441    13        12      1     8
    63     0     3      —       —        —     —        28     3         1      2     5
    63     1     3      —       —        —     —       152     6       502      0    10
    64     0     3      —       —        —     —        96     9         1      4     4
    65     0     3      —       —        —     —        28     3         1      5     5
    66     0     3      —       —        —     —        88     9         1      6     8
    67     0     3      —       —        —     —       111    12         1      7     5
    68     0     3      —       —        —     —        28     3         1      8     4
    69     0     3      —       —        —     —        28     3         1      9     4
    70     0     3      —       —        —     —       185    10         2     10     5
    71     0     3      —       —        —     —        28     3         1     11     4
    72     0     3      —       —        —     —        28     3         1     12     4
    73     0     3      —       —        —     —       116     3         4     13     8
    74     0     3      —       —        —     —        26     3         1     14     5
    75     0     3      —       —        —     —       123    12         1     15     7
    75     1     3      —       —        —     —     25360     6       502      0    10
