LogCode,Description,Count
B8C9,[0xB8C9] NR5G LL1 FW RX Control AGC,145761,
B8D1,[0xB8D1] NR5G LL1 FW TX IU RF,46665,
B888,[0xB888] NR5G MAC PDSCH Stats,29723,
B883,[0xB883] NR5G MAC UL Physical Channel Schedule Report,26730,
B885,[0xB885] NR5G MAC DCI Info,26378,
B887,[0xB887] NR5G MAC PDSCH Status,23929,
B8D8,[0xB8D8] NR5G LL1 LOG SERVING SNR,8930,
B8DD,[0xB8DD] NR5G LL1 FW Serving FTL,8930,
B8D2,[0xB8D2] NR5G LL1 FW MAC TX IU Power,3863,
B857,[0xB857] NR5G L2 DL DATA PDU,2315,
B872,[0xB872] NR5G L2 UL TB,2015,
B8A7,[0xB8A7] NR5G MAC CSF Report,1861,
B8E2,[0xB8E2] NR5G LL1 FW CSF Reports,1703,
B840,[0xB840] NR5G PDCP DL Data Pdu,1666,
B97F,[0xB97F] NR5G ML1 Searcher Measurement Database Update Ext,1383,
B84D,[0xB84D] NR5G RLC DL Stats,758,
B842,[0xB842] NR5G PDCP DL Rbs Stats,757,
B868,[0xB868] NR5G RLC UL Stats,569,
1FFB,[0x1FFB] Event,482,
B860,[0xB860] NR5G PDCP UL Stats,473,
B821,[0xB821] NR5G RRC OTA Packet,419,
B959,[0xB959] NR5G ML1 RLM Stats,295,
184E,[0x184E] Call Manager Serving System MSIM Event,175,
B8AE,[0xB8AE] NR5G MAC Skip UL TX,102,
B825,[0xB825] NR5G RRC Configuration Info,62,
B9A7,[0xB9A7] NR5G ML1 DLM2 CA Metrics Request,56,
B951,[0xB951] NR5G ML1 DL Dedicated Config,48,
B84B,[0xB84B] NR5G L2 DL Config,48,
B871,[0xB871] NR5G L2 UL Config,48,
B822,[0xB822] NR5G RRC MIB Info,27,
B950,[0xB950] NR5G ML1 DL Common Config,24,
B8AF,[0xB8AF] NR5G MAC Link Latency,22,
B80B,[0xB80B] NR5G NAS MM5G Plain OTA Outgoing Msg,21,
B80A,[0xB80A] NR5G NAS MM5G Plain OTA Incoming Msg,19,
B809,[0xB809] NR5G NAS MM5G Security Protected OTA Outgoing Msg,19,
B808,[0xB808] NR5G NAS MM5G Security Protected OTA Incoming Msg,18,
B823,[0xB823] NR5G RRC Serving Cell Info,12,
B96E,[0xB96E] NR5G ML1 Searcher Measurement Config,11,
B889,[0xB889] NR5G MAC RACH Trigger,11,
B88A,[0xB88A] NR5G MAC RACH Attempt,11,
B814,[0xB814] NR5G NAS Plain Message Container,11,
156E,[0x156E] IMS SIP Message,10,
B801,[0xB801] NR5G NAS SM5G Plain OTA Outgoing Msg,4,
B815,[0xB815] NR5G NAS MM5G NSSAI Info,3,
B800,[0xB800] NR5G NAS SM5G Plain OTA Incoming Msg,3,
B0EE,[0xB0EE] LTE NAS EMM State,1,
