Directory,Timestamp,Ping_ms,Download_Mbps,Upload_Mbps,Server,ISP,Packet_Loss_Percent,Result_URL
run_005_20260615_174819,2026-06-15 17:49:13,15.08,383.23,25.11,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/f76a5573-fcdc-4ca7-bdc2-4db7745c9447
run_001_20260615_172242,2026-06-15 17:23:42,24.76,298.52,19.82,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/90f64369-0df4-43fe-bf8f-dd54f9773b01
run_008_20260615_180701,2026-06-15 18:07:55,19.15,119.24,23.96,ARKTEL Networks Pvt Ltd - New Delhi (id: 23334),Jio,0.0,https://www.speedtest.net/result/c/0aa85538-ddf7-4dde-b8c6-baebc7158cd4
run_000_20260615_171616,2026-06-15 17:17:23,15.36,343.82,16.92,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/3e0ca9c3-09c9-413a-a05c-0be853260646
run_004_20260615_174146,2026-06-15 17:42:53,14.73,368.83,26.59,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/56814106-6ac1-4edc-94e9-b024ad058ba1
run_007_20260615_180043,2026-06-15 18:01:42,15.94,326.13,32.07,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/f8c09d70-de01-41ae-825e-9e07cb8b141f
run_003_20260615_173518,2026-06-15 17:36:24,17.28,325.92,19.04,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/6e0fe5c0-3aaa-4a7e-9cc8-8b192a3e9fac
run_002_20260615_172902,2026-06-15 17:29:57,14.69,314.27,28.63,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/b4242d44-1d31-448e-b824-9635337e1710
run_009_20260615_181306,2026-06-15 18:14:06,16.67,310.08,25.58,Jio - New Delhi (id: 21706),Jio,0.0,https://www.speedtest.net/result/c/49a021ec-e0b2-414e-b7ba-70984397ce9d
run_006_20260615_175430,2026-06-15 17:55:29,20.04,133.44,19.93,ARKTEL Networks Pvt Ltd - New Delhi (id: 23334),Jio,0.0,https://www.speedtest.net/result/c/52ad4c74-9d42-4504-ba85-93f93d5d3fde
