Run_Name,Timestamp,SNR,DL_Mbps,UL_Mbps,Elapsed_Seconds
run_005_20260615_174819,2026-06-15 17:48:31,13.0,0.0,0.0,0.0
run_005_20260615_174819,2026-06-15 17:48:32,13.0,0.064,0.044,1.0
run_005_20260615_174819,2026-06-15 17:48:33,13.0,0.0,0.0,2.0
run_005_20260615_174819,2026-06-15 17:48:34,11.0,0.047,0.057,3.0
run_005_20260615_174819,2026-06-15 17:48:35,11.0,0.0,0.0,4.0
run_005_20260615_174819,2026-06-15 17:48:36,11.0,0.013,0.015,5.0
run_005_20260615_174819,2026-06-15 17:48:37,14.0,0.0,0.0,6.0
run_005_20260615_174819,2026-06-15 17:48:38,14.0,0.017,0.025,7.0
run_005_20260615_174819,2026-06-15 17:48:39,20.0,0.0,0.0,8.0
run_005_20260615_174819,2026-06-15 17:48:40,20.0,0.001,0.002,9.0
run_005_20260615_174819,2026-06-15 17:48:41,12.0,0.0,0.0,10.0
run_005_20260615_174819,2026-06-15 17:48:42,12.0,16.214,0.286,11.0
run_005_20260615_174819,2026-06-15 17:48:43,13.0,306.895,1.02,12.0
run_005_20260615_174819,2026-06-15 17:48:44,13.0,460.389,0.638,13.0
run_005_20260615_174819,2026-06-15 17:48:45,13.0,430.242,0.778,14.0
run_005_20260615_174819,2026-06-15 17:48:46,13.0,412.06,0.745,15.0
run_005_20260615_174819,2026-06-15 17:48:47,12.0,0.0,0.678,16.0
run_005_20260615_174819,2026-06-15 17:48:48,12.0,383.264,0.762,17.0
run_005_20260615_174819,2026-06-15 17:48:49,13.0,0.0,0.607,18.0
run_005_20260615_174819,2026-06-15 17:48:50,13.0,0.0,0.0,19.0
run_005_20260615_174819,2026-06-15 17:48:51,13.0,404.083,4.681,20.0
run_005_20260615_174819,2026-06-15 17:48:52,12.0,0.0,0.0,21.0
run_005_20260615_174819,2026-06-15 17:48:53,13.0,0.553,51.016,22.0
run_005_20260615_174819,2026-06-15 17:48:54,13.0,0.0,0.0,23.0
run_005_20260615_174819,2026-06-15 17:48:55,13.0,0.54,57.636,24.0
run_005_20260615_174819,2026-06-15 17:48:56,13.0,0.239,19.815,25.0
run_005_20260615_174819,2026-06-15 17:48:57,12.0,0.276,27.224,26.0
run_005_20260615_174819,2026-06-15 17:48:58,12.0,0.0,0.0,27.0
run_005_20260615_174819,2026-06-15 17:48:59,13.0,0.253,29.243,28.0
run_005_20260615_174819,2026-06-15 17:49:00,13.0,0.011,0.023,29.0
run_005_20260615_174819,2026-06-15 17:49:01,11.0,0.0,0.0,30.0
run_005_20260615_174819,2026-06-15 17:49:02,11.0,0.008,0.004,31.0
run_005_20260615_174819,2026-06-15 17:49:03,13.0,0.0,0.0,32.0
run_005_20260615_174819,2026-06-15 17:49:03,13.0,0.0,0.0,32.0
run_005_20260615_174819,2026-06-15 17:49:04,13.0,0.01,0.01,33.0
run_005_20260615_174819,2026-06-15 17:49:05,12.0,0.0,0.0,34.0
run_005_20260615_174819,2026-06-15 17:49:06,12.0,0.0,0.0,35.0
run_005_20260615_174819,2026-06-15 17:49:07,12.0,0.045,0.132,36.0
run_005_20260615_174819,2026-06-15 17:49:08,13.0,0.0,0.006,37.0
run_001_20260615_172242,2026-06-15 17:22:55,16.0,0.042,0.011,0.0
run_001_20260615_172242,2026-06-15 17:22:56,16.0,0.048,0.021,1.0
run_001_20260615_172242,2026-06-15 17:22:57,13.0,0.0,0.0,2.0
run_001_20260615_172242,2026-06-15 17:22:58,13.0,0.035,0.052,3.0
run_001_20260615_172242,2026-06-15 17:22:59,13.0,0.0,0.0,4.0
run_001_20260615_172242,2026-06-15 17:23:00,13.0,0.03,0.026,5.0
run_001_20260615_172242,2026-06-15 17:23:01,14.0,0.015,0.019,6.0
run_001_20260615_172242,2026-06-15 17:23:02,14.0,0.004,0.003,7.0
run_001_20260615_172242,2026-06-15 17:23:03,14.0,0.0,0.0,8.0
run_001_20260615_172242,2026-06-15 17:23:04,13.0,0.0,0.0,9.0
run_001_20260615_172242,2026-06-15 17:23:05,13.0,0.0,0.001,10.0
run_001_20260615_172242,2026-06-15 17:23:06,9.0,0.0,0.0,11.0
run_001_20260615_172242,2026-06-15 17:23:07,9.0,6.377,0.194,12.0
run_001_20260615_172242,2026-06-15 17:23:08,18.0,99.733,1.228,13.0
run_001_20260615_172242,2026-06-15 17:23:09,18.0,169.089,1.073,14.0
run_001_20260615_172242,2026-06-15 17:23:10,16.0,247.183,0.536,15.0
run_001_20260615_172242,2026-06-15 17:23:11,16.0,0.0,0.0,16.0
run_001_20260615_172242,2026-06-15 17:23:12,10.0,763.58,1.875,17.0
run_001_20260615_172242,2026-06-15 17:23:13,10.0,0.0,0.0,18.0
run_001_20260615_172242,2026-06-15 17:23:14,10.0,634.409,1.424,19.0
run_001_20260615_172242,2026-06-15 17:23:15,14.0,0.0,0.0,20.0
run_001_20260615_172242,2026-06-15 17:23:16,14.0,502.797,1.423,21.0
run_001_20260615_172242,2026-06-15 17:23:17,15.0,0.0,0.0,22.0
run_001_20260615_172242,2026-06-15 17:23:18,15.0,582.518,1.52,23.0
run_001_20260615_172242,2026-06-15 17:23:19,16.0,0.0,0.0,24.0
run_001_20260615_172242,2026-06-15 17:23:20,16.0,0.451,31.939,25.0
run_001_20260615_172242,2026-06-15 17:23:21,14.0,0.0,0.0,26.0
run_001_20260615_172242,2026-06-15 17:23:22,14.0,0.521,39.455,27.0
run_001_20260615_172242,2026-06-15 17:23:23,14.0,0.257,21.772,28.0
run_001_20260615_172242,2026-06-15 17:23:24,14.0,0.247,19.594,29.0
run_001_20260615_172242,2026-06-15 17:23:25,14.0,0.253,20.997,30.0
